,index,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""",How often do you go to Clifton beach?,What are your top motivations for going to Clifton Beach? You can select up to 3,Which one of the following statements apply to you?,How do you feel regarding the caretaking and evolution of Clifton beach?
1163,599,25 - 44 years,Male,"75,001 - 100,000 rupees",Faisal Cantonment,Not often (few times in many years),"Relief (from climate, from stresses, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
1164,600,25 - 44 years,Male,"25,001 - 50,000 rupees",Garden,Frequently (multiple times a month),"Activity (exercising, sports, running, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
1165,600dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Garden,,Special events held in the vicinity,,
1166,600dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Garden,,Tourism,,
1167,601,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
1168,601dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
1169,601dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,"Commerce (for work, for shopping, for restaurants, etc)",,
1170,602,15 - 24 years,Female,Prefer not to answer,Clifton Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Positively - There are several welcome developmental changes
1171,602dup,15 - 24 years,Female,Prefer not to answer,Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
1172,602dup,15 - 24 years,Female,Prefer not to answer,Clifton Cantonment,,"Celebrating (personal milestones, special occasions, etc)",,
1173,603,25 - 44 years,Male,"75,001 - 100,000 rupees",Nazimabad,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
1174,604,45 years and above,Male,"200,001 and above",Malir Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
1175,604dup,45 years and above,Male,"200,001 and above",Malir Cantonment,,Most accessible (public beach closest to urban Karachi),,
1176,604dup,45 years and above,Male,"200,001 and above",Malir Cantonment,,"Relief (from climate, from stresses, etc)",,
1177,605,25 - 44 years,Female,"200,001 and above",Outside Karachi,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
1178,605dup,25 - 44 years,Female,"200,001 and above",Outside Karachi,,Most accessible (public beach closest to urban Karachi),,
1179,605dup,25 - 44 years,Female,"200,001 and above",Outside Karachi,,"Relief (from climate, from stresses, etc)",,
1180,606,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulberg,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
1181,606dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulberg,,"Celebrating (personal milestones, special occasions, etc)",,
1182,606dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulberg,,"Relief (from climate, from stresses, etc)",,
1183,607,25 - 44 years,Male,Prefer not to answer,Airport,Often (multiple times in a year),"Relief (from climate, from stresses, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
1184,608,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
1185,608dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
1186,608dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
1187,609,15 - 24 years,Female,Prefer not to answer,Clifton Cantonment,Not often - I prefer other beaches,Tourism,I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
1188,610,45 years and above,Female,"200,001 and above",Ferozabad,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
1189,610dup,45 years and above,Female,"200,001 and above",Ferozabad,,Most accessible (public beach closest to urban Karachi),,
1190,610dup,45 years and above,Female,"200,001 and above",Ferozabad,,"Relief (from climate, from stresses, etc)",,
1191,611,15 - 24 years,Female,"200,001 and above",North Nazimabad Town,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
1192,612,25 - 44 years,Transgender,"25,001 - 50,000 rupees",Shah Faisal,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
1193,612dup,25 - 44 years,Transgender,"25,001 - 50,000 rupees",Shah Faisal,,Most accessible (public beach closest to urban Karachi),,
1194,612dup,25 - 44 years,Transgender,"25,001 - 50,000 rupees",Shah Faisal,,"Relief (from climate, from stresses, etc)",,
1195,613,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
1196,613dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
1197,613dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,Seeing people out and about. Leaving the bubble,,
1198,614,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
1199,615,25 - 44 years,Male,"125,001 - 150,000 rupees",Clifton Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
1200,615dup,25 - 44 years,Male,"125,001 - 150,000 rupees",Clifton Cantonment,,"Activity (exercising, sports, running, etc)",,
1201,616,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,Not often - I prefer other beaches,Special events held in the vicinity,I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
1202,617,45 years and above,Male,"125,001 - 150,000 rupees",North Nazimabad Town,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
1203,617dup,45 years and above,Male,"125,001 - 150,000 rupees",North Nazimabad Town,,Most accessible (public beach closest to urban Karachi),,
1204,617dup,45 years and above,Male,"125,001 - 150,000 rupees",North Nazimabad Town,,Tourism,,
1205,618,45 years and above,Male,"200,001 and above",Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
1206,618dup,45 years and above,Male,"200,001 and above",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
1207,619,15 - 24 years,Female,"200,001 and above",Gulshan-e-Iqbal,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
1208,619dup,15 - 24 years,Female,"200,001 and above",Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
1209,620,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
1210,620dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
1211,620dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
1212,621,25 - 44 years,Male,"100,001 - 125,000 rupees",Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
1213,621dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
1214,621dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Clifton Cantonment,,Tourism,,
1215,622,25 - 44 years,Male,"75,001 - 100,000 rupees",Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
1216,622dup,25 - 44 years,Male,"75,001 - 100,000 rupees",Clifton Cantonment,,"Celebrating (personal milestones, special occasions, etc)",,
1217,622dup,25 - 44 years,Male,"75,001 - 100,000 rupees",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
1218,623,25 - 44 years,Male,"200,001 and above",,Frequently (multiple times a month),Most accessible (public beach closest to urban Karachi),I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
1219,623dup,25 - 44 years,Male,"200,001 and above",,,"Relief (from climate, from stresses, etc)",,
1220,623dup,25 - 44 years,Male,"200,001 and above",,,"Commerce (for work, for shopping, for restaurants, etc)",,
1221,624,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,Not often (few times in many years),"Relief (from climate, from stresses, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
1222,625,45 years and above,Male,"150,001 - 175,000 rupees",Clifton Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
1223,626,25 - 44 years,Male,"150,001 - 175,000 rupees",Airport,Not often (few times in many years),"Activity (exercising, sports, running, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
1224,627,25 - 44 years,Female,"200,001 and above",Malir Cantonment,Not often (few times in many years),"Commerce (for work, for shopping, for restaurants, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
1225,628,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,Often (multiple times in a year),Most accessible (public beach closest to urban Karachi),I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
1226,628dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
