,index,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""",What are your top priorities for Clifton Beach in the next year? You can select up to 3.,op: What would make Clifton Beach your favourite beach to go to? Please use this space for any feedback not covered by the survey,Is it important for Clifton Beach and the coast of Karachi to have a comprehensive plan across various ownership boundaries to guide its growth?
1543,564dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1544,565,15 - 24 years,Female,"175,000 - 200,000 rupees",Ferozabad,"Amenities (like: washrooms, washing areas, lockers, etc)","Cleanliness, Strict fining system so that people don't pollute, security so women feel more safe when visiting in alone or with female company, restoration ",Important
1545,565dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Ferozabad,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1546,565dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Ferozabad,"Natural areas (like: forests, gardens, etc)",,
1547,566,15 - 24 years,Male,"125,001 - 150,000 rupees",Garden,None of the above ,Easily accessible ,Important
1548,567,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1549,567dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1550,567dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1551,568,25 - 44 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)","The water is polluted because of oil leakage from the ships which stops me fro enjoying there and overall hygiene issues. There should be monthly clean-up. And a protection team for harassment because that usually does happen here and there and i feel very unsafe if i am with my friends (A lookout for indecency/ protection). Also, some umbrellas and seatings would be nice too like it used to be",Indifferent
1552,568dup,25 - 44 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1553,569,15 - 24 years,Male,"175,000 - 200,000 rupees",Airport,"Amenities (like: washrooms, washing areas, lockers, etc)","Safety, inclusive space, strict policies regarding harassment, cat calling, littering etc. ",Important
1554,569dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Airport,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1555,569dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Airport,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1556,570,25 - 44 years,Female,"125,001 - 150,000 rupees",Ferozabad,"Amenities (like: washrooms, washing areas, lockers, etc)","If it was more of a beach and less of a beach stuck in between large buildings.. the parts that are accessible for the middle and working classes are Hella dirty, have safety concerns, and it just makes my blood boil cause the rich / folks in charge never use that beach, they just go straight up to French beach and beyond smh",Important
1557,570dup,25 - 44 years,Female,"125,001 - 150,000 rupees",Ferozabad,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1558,570dup,25 - 44 years,Female,"125,001 - 150,000 rupees",Ferozabad,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1559,571,15 - 24 years,Female,Prefer not to answer,Outside Karachi,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1560,571dup,15 - 24 years,Female,Prefer not to answer,Outside Karachi,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1561,571dup,15 - 24 years,Female,Prefer not to answer,Outside Karachi,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1562,572,25 - 44 years,Non-binary,"100,001 - 125,000 rupees",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)","I want the city government to invest in the beach, to clean it up, (I have seen several citizen intiatives but most of that has to come from the govt) and sometimes there are clean up operations on the street, but most often they are not cleaning the beach itself. Also there has to be a long term investment into keeping the beach clean, the sewage is dumped into the sea, which threatens marine life, mangroves are cut to make way for 'development' projects. All this needs to stop (this will be long term, because the sewage will have to be cleaned via processing facilities but as it stands it is harmful to both humans and marine life and alternative forests of mangroves must be planted and the developers stopped from taking over the natural resources and land of the beach). The city government needs to do more than build concrete monuments that are difficult to maintain and run. People who visit must be incentivised to not litter since it also causes death of marine life.  Ultimately we need to protect the ecosystems in and around the beach (protect any trees, water, fishes, etc) for a more enjoyable experience of the beach. ",Important
1563,572dup,25 - 44 years,Non-binary,"100,001 - 125,000 rupees",Clifton Cantonment,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1564,572dup,25 - 44 years,Non-binary,"100,001 - 125,000 rupees",Clifton Cantonment,"Natural areas (like: forests, gardens, etc)",,
1565,573,15 - 24 years,Transgender,"200,001 and above",Ferozabad,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1566,573dup,15 - 24 years,Transgender,"200,001 and above",Ferozabad,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1567,573dup,15 - 24 years,Transgender,"200,001 and above",Ferozabad,"Natural areas (like: forests, gardens, etc)",,
1568,574,15 - 24 years,Male,"Up to 25,000 rupees",Malir Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",Safe for women and children. ,Important
1569,574dup,15 - 24 years,Male,"Up to 25,000 rupees",Malir Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1570,574dup,15 - 24 years,Male,"Up to 25,000 rupees",Malir Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1571,575,25 - 44 years,Male,Prefer not to answer,Outside Karachi,"Amenities (like: washrooms, washing areas, lockers, etc)",It's right there by the city,Important
1572,575dup,25 - 44 years,Male,Prefer not to answer,Outside Karachi,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1573,575dup,25 - 44 years,Male,Prefer not to answer,Outside Karachi,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1574,576,25 - 44 years,Female,"200,001 and above",Gulberg,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)","Clean, safe and accessible. I want it to be preserved and managed by the government like a national park. It's the hallmark of Karachi, deserves some tlc.",Important
1575,576dup,25 - 44 years,Female,"200,001 and above",Gulberg,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1576,576dup,25 - 44 years,Female,"200,001 and above",Gulberg,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1577,577,25 - 44 years,Female,"75,001 - 100,000 rupees",North Nazimabad Town,"Amenities (like: washrooms, washing areas, lockers, etc)","Cleanliness, safety for girls ",Important
1578,577dup,25 - 44 years,Female,"75,001 - 100,000 rupees",North Nazimabad Town,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1579,577dup,25 - 44 years,Female,"75,001 - 100,000 rupees",North Nazimabad Town,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1580,578,25 - 44 years,Female,"75,001 - 100,000 rupees",,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,Important
1581,578dup,25 - 44 years,Female,"75,001 - 100,000 rupees",,"Natural areas (like: forests, gardens, etc)",,
1582,578dup,25 - 44 years,Female,"75,001 - 100,000 rupees",,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1583,579,25 - 44 years,Female,"175,000 - 200,000 rupees",Gulberg,"Amenities (like: washrooms, washing areas, lockers, etc)",Just make it clean and stop dumping the gutter lines into the beach.,Important
1584,579dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Gulberg,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1585,579dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Gulberg,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1586,580,25 - 44 years,Female,"50,001 - 75,000 rupees",Karachi Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)","Cleanliness, safety, available amenities like washing areas, and washrooms that are being maintained",Important
1587,580dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Karachi Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1588,580dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Karachi Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1589,581,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)","I would if they would stop dumping untreated sewage into the sea. And hipefully if DHA doesnt take over the coastline and make houses, which has already begun sadly.",Important
1590,581dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1591,581dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1592,582,25 - 44 years,Female,"75,001 - 100,000 rupees",North Nazimabad Town,"Amenities (like: washrooms, washing areas, lockers, etc)",More safety ,Important
1593,582dup,25 - 44 years,Female,"75,001 - 100,000 rupees",North Nazimabad Town,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1594,582dup,25 - 44 years,Female,"75,001 - 100,000 rupees",North Nazimabad Town,"Natural areas (like: forests, gardens, etc)",,
1595,583,15 - 24 years,Female,"200,001 and above",Nazimabad,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1596,583dup,15 - 24 years,Female,"200,001 and above",Nazimabad,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1597,583dup,15 - 24 years,Female,"200,001 and above",Nazimabad,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1598,584,25 - 44 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1599,584dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1600,584dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1601,585,25 - 44 years,Female,Prefer not to answer,Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",Memories ,Important
1602,585dup,25 - 44 years,Female,Prefer not to answer,Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1603,585dup,25 - 44 years,Female,Prefer not to answer,Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1604,586,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1605,586dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1606,586dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1607,587,25 - 44 years,Female,"200,001 and above",Jamshed Quarters,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",Cleanliness and security ,Important
1608,587dup,25 - 44 years,Female,"200,001 and above",Jamshed Quarters,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1609,587dup,25 - 44 years,Female,"200,001 and above",Jamshed Quarters,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1610,588,15 - 24 years,Female,"100,001 - 125,000 rupees",Jamshed Quarters,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)","If it was safe for women. I could even deal with the dirtiness of the beach if only I felt safe there. The leering, harassment, and general sense of unease that ‘im not safe here’ are too much to bear :( ",Important
1611,588dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Jamshed Quarters,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1612,588dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Jamshed Quarters,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1613,589,15 - 24 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Built-up areas (like: housing, offices, amusement parks, etc)",,Important
1614,589dup,15 - 24 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1615,589dup,15 - 24 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1616,590,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Indifferent
1617,590dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1618,590dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1619,591,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",If it was cleaner ,Important
1620,591dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1621,591dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1622,592,25 - 44 years,Female,"200,001 and above",Karachi Cantonment,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",A set of rules or mutual understanding of take the trash with you back. Because we shouldn't rely of dustbin 100%,Important
1623,592dup,25 - 44 years,Female,"200,001 and above",Karachi Cantonment,"Natural areas (like: forests, gardens, etc)",,
1624,592dup,25 - 44 years,Female,"200,001 and above",Karachi Cantonment,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
